,Productivity,Digester,Fermenter,PBR,Reactor,Land,Water,Power,Mass,Flow
0,5,0.45,0.432,1.55,7.85,20942,94735.3254,18.013731894278397,25.800725444565103,3.6357638888888886
1,6,0.45,0.432,1.55,7.85,17452,80736.4424,17.76469336103961,22.57377611936829,3.6358333333333333
2,7,0.45,0.432,1.55,7.85,14959,70736.6233,17.586731588857518,20.26866095456336,3.635868055555556
3,8,0.45,0.432,1.55,7.85,13089,63235.57680000001,17.452969227439606,18.539514741171224,3.6358333333333333
4,9,0.45,0.432,1.55,7.85,11635,57403.599500000004,17.349553290967915,17.19520404005599,3.6359375
5,10,0.45,0.432,1.55,7.85,10471,52734.050200000005,17.2656082630784,16.11868306750768,3.6357638888888886
6,11,0.45,0.432,1.55,7.85,9519,48915.2853,17.197434431335093,15.238368379376501,3.6357291666666667
7,12,0.45,0.432,1.55,7.85,8726,45734.711200000005,17.141245093839608,14.505253362974145,3.6358333333333333
